,precision,recall,f1-score,support
BRAND_MODEL,0.9042553191489362,0.8854166666666666,0.8947368421052632,96.0
COLOR,0.8472222222222222,0.7672955974842768,0.8052805280528053,159.0
STORAGE,0.9117647058823529,0.9612403100775194,0.9358490566037736,129.0
micro avg,0.8850267379679144,0.8619791666666666,0.8733509234828496,384.0
macro avg,0.8877474157511704,0.871317524742821,0.8786221422539473,384.0
weighted avg,0.8831627370584759,0.8619791666666666,0.8715074716260106,384.0
